,State,Population,Seats,Population per Seat,Governing parties,Next regular election,Presidency,State_zh_cn,Primary party,Secondary party,Tertiary party,State abbr
9,North Rhine-Westphalia,"17,865,516",6,"2,977,586",CDU + FDP,2022,2026/27,北莱茵-威斯特法伦州,CDU,FDP,,DE-NW
1,Bavaria,"12,843,514",6,"2,140,586",CSU + FW,2023,2027/28,巴伐利亚,CSU,FW,,DE-BY
0,Baden-Württemberg,"10,879,618",6,"1,813,270",Grüne + CDU,2021,2028/29,巴登-符腾堡州,Grüne,CDU,,DE-BW
7,Lower Saxony,"7,926,599",6,"1,321,100",SPD + CDU,2022,2029/30,下萨克森州,SPD,CDU,,DE-NI
6,Hesse,"6,176,172",5,"1,235,234",CDU + Grüne,2023,2030/31,黑森州,CDU,Grüne,,DE-HE
14,Schleswig-Holstein,"2,858,714",4,"714,679",CDU + Grüne + FDP,2022,2034/35,石勒苏益格-荷尔斯泰因州,CDU,Grüne,FDP,DE-SH
12,Saxony,"4,084,851",4,"1,021,213",CDU + SPD + Grüne,2024,2031/32,萨克森,CDU,SPD,Grüne,DE-SL
13,Saxony-Anhalt,"2,245,470",4,"561,368",CDU + SPD + Grüne,2021,2020/21,萨克森-安哈尔特州,CDU,SPD,Grüne,DE-ST
15,Thuringia,"2,170,714",4,"542,679",Linke + SPD + Grüne,2024,2021/22,图林根州,Linke,SPD,Grüne,DE-TH
3,Brandenburg,"2,484,826",4,"621,207",SPD + CDU + Grüne,2024,current,勃兰登堡,SPD,CDU,Grüne,DE-BB
10,Rhineland-Palatinate,"4,052,803",4,"1,013,201",SPD + FDP + Grüne,2021,2032/33,莱茵兰-普法尔茨州,SPD,FDP,Grüne,DE-RP
2,Berlin,"3,520,031",4,"880,008",SPD + Linke + Grüne,2021,2033/34,柏林,SPD,Linke,Grüne,DE-BE
11,Saarland,"995,597",3,"331,866",CDU + SPD,2022,2024/25,萨尔,CDU,SPD,,DE-SL
8,Mecklenburg-Vorpommern,"1,612,362",3,"537,454",SPD + CDU,2021,2023/24,梅克伦堡-前波美拉尼亚州,SPD,CDU,,DE-MV
5,Hamburg,"1,787,408",3,"595,803",SPD + Grüne,2025,2022/23,汉堡,SPD,Grüne,,DE-HH
4,Bremen,"671,489",3,"223,830",SPD + Grüne + Linke,2023,2025/26,不来梅,SPD,Grüne,Linke,DE-HB
